rank,company,domain,industry,revenue_usd,employees,city,state,careers_url,ats,ats_url,tier_recommendation,confidence
151,Paramount,paramount.com,Telecom & Media,28700000000,20350,New York,New York,https://cms.paramount.com/careers,successfactors,https://career41.sapsf.com/career?career_company=viacomcbsi&lang=en_US&company=viacomcbsi&site=&loginFlowRequired=true&_s.crb=tNTDw5w74Q1xchfzDOMgGAIHC%2fQZikHdQhDfpi6qN98%3d,tier3_llm_browser,high
152,Applied Materials,appliedmaterials.com,Technology,28400000000,35700,Santa Clara,California,https://careers.appliedmaterials.com/careers,eightfold,"https://app.eightfold.ai/careers?domain=appliedmaterials.com&#34;},",tier1_ats,low
153,CarMax,carmax.com,Retail & Consumer Goods,28300000000,29836,Richmond,Virginia,https://careers.carmax.com,workday,https://carmax.wd1.myworkdayjobs.com/External/login,tier1_ats,high
154,AutoNation,autonation.com,Retail & Consumer Goods,27900000000,25100,Fort Lauderdale,Florida,https://autonation.wd5.myworkdayjobs.com/Careers/login,workday,https://autonation.wd5.myworkdayjobs.com/Careers/login,tier1_ats,high
155,Hartford Insurance,thehartford.com,Insurance,27900000000,19100,Hartford,Connecticut,https://www.thehartford.com/careers,workday,https://thehartford.wd5.myworkdayjobs.com/Careers_External/login,tier1_ats,high
156,Baker Hughes,bakerhughes.com,Energy & Utilities,27700000000,57000,Houston,Texas,https://careers.bakerhughes.com,custom,,tier2_llm_http,medium
157,Southwest Airlines,southwest.com,Transportation & Logistics,27600000000,72450,Dallas,Texas,https://careers.southwestair.com/us/en/,phenom,,tier1_ats,medium
158,Apollo Global Management,apollo.com,Banking & Financial Services,27200000000,5108,New York,New York,https://www.apollo.com/careers,workday,https://wd5.myworkday.com/wday/authgwy/athene/login.htmld?returnTo=%2fathene%2fd%2fhome.htmld,tier1_ats,medium
159,Quanta Services,quantaservices.com,Other,27200000000,58400,Houston,Texas,https://www.quantaservices.com/careers,icims,https://allcareers-quanta.icims.com/,tier1_ats,high
160,American International,aig.com,Insurance,27100000000,22200,New York,New York,https://www.aig.com/home/careers,workday,https://aig.wd1.myworkdayjobs.com/aig,tier1_ats,high
161,HF Sinclair,hfsinclair.com,Energy & Utilities,26900000000,5297,Dallas,Texas,https://www.hfsinclair.com/home/default.aspx,custom,,tier2_llm_http,medium
162,Occidental Petroleum,oxy.com,Energy & Utilities,26600000000,13323,Houston,Texas,https://www.oxy.com/careers/,workday,https://oxy.wd5.myworkdayjobs.com/Corporate,tier1_ats,high
